Incident Number,Date,Time Out,Time In,Location,Call Type,Response Area,Company Run #,Box or Street Assignment,Working Fire,Unit 1,Unit 1 Off ID,Unit 1 Dr ID,Unit 1 FF1 ID,Unit 1 FF2 ID,Unit 1 FF3 ID,Unit 1 FF4 ID,Unit 1 FF5 ID,Unit 1 FF6 ID,Unit 1 FF7 ID,Unit 1 Disposition,Unit 2,Unit 2 Off ID,Unit 2 Dr ID,Unit 2 FF1 ID,Unit 2 FF2 ID,Unit 2 FF3 ID,Unit 2 FF4 ID,Unit 2 FF5 ID,Unit 2 FF6 ID,Unit 2 FF7 ID,Unit 2 Disposition,Unit 3,Unit 3 Off ID,Unit 3 Dr ID,Unit 3 FF1 ID,Unit 3 FF2 ID,Unit 3 FF3 ID,Unit 3 FF4 ID,Unit 3 FF5 ID,Unit 3 FF6 ID,Unit 3 FF7 ID,Unit 3 Disposition,Unit 4,Unit 4 Off ID,Unit 4 Dr ID,Unit 4 FF1 ID,Unit 4 FF2 ID,Unit 4 FF3 ID,Unit 4 FF4 ID,Unit 4 FF5 ID,Unit 4 FF6 ID,Unit 4 FF7 ID,Unit 4 Disposition,Unit 5,Unit 5 Off ID,Unit 5 Dr ID,Unit 5 FF1 ID,Unit 5 FF2 ID,Unit 5 FF3 ID,Unit 5 FF4 ID,Unit 5 FF5 ID,Unit 5 FF6 ID,Unit 5 FF7 ID,Unit 5 Disposition,Remarks,Report by,Type of Incident,Box Area
,25-Nov-13,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13-Jan-14,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19-Jan-14,,,,,,,FALSE,FALSE,TK12,17937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02-Mar-14,00-Jan-00,00-Jan-00,5804 Annapolis Rd.,Structure Fire,Surrounding Area,369011,TRUE,TRUE,TK12,16691,18044,20326,20104,19450,21014,21021,,,Emergency Operations Performed,C12,,10238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tk 12 OIC vent group supervisor. Vented high rise after a fire in trash room/ chute,16691,,09
,01-Jun-14,,,,,,,FALSE,FALSE,TK12,20104,9781,21021,20825,20348,18403,20098,,,Emergency Operations Performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Working fire.  Reported to division 2.  Laddered and Cut the roof,,,
,01-Jun-14,,,,,,,FALSE,FALSE,,,,20825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03-Jun-14,,,,,,,FALSE,FALSE,,21654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10-Jun-14,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29-Jul-14,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26-Aug-14,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28-Aug-14,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,08-Nov-14,,,,,,,FALSE,FALSE,,22385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-14,,,,,,,FALSE,FALSE,,17568,15876,18403,20825,22742,22679,21665,,,PISPTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16-Nov-14,00-Jan-00,00-Jan-00,122 Valley Dr.,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28-Nov-14,,,,,,,FALSE,FALSE,,21016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28-Mar-15,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26-Apr-15,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16-May-15,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17-Jun-15,,,,,,,FALSE,FALSE,,21654,10238,21532,20326,22742,,,,,Investigation - Nothing Found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFRI Burn,,,
,13-Jul-15,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23-Jul-15,,,,,,,FALSE,FALSE,,23182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23-Aug-15,,,,,,,FALSE,FALSE,,20638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-Sep-15,,,,,,,FALSE,FALSE,,21654,21021,21532,22724,23182,22098,21665,22176,,Staged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21654,,
,03-Sep-15,,,7093 Preinkert Dr,,,1443020,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04-Sep-15,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19-Sep-15,00-Jan-00,00-Jan-00,Championship Lane/ Union Drive,,University of Maryland,1599127,FALSE,FALSE,E121,18044,21654,23418,22176,16284,22679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
,21-Sep-15,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14-Oct-15,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19-Oct-15,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03-Mar-16,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23-Mar-16,00-Jan-00,,Baltimore Ave NB/Knox Rd,EMS Assists,City of College Park,463099,FALSE,FALSE,E122,21654,22724,22176,23418,,,,,,Assist EMS,Stat,,,23162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21654,,12
,09-Apr-16,,,Toledo Terrace/East West Hwy,Rescues,Surrounding Area,,FALSE,FALSE,E121,18044,21654,23276,23275,23182,23276,,,,Emergency Operations Performed,Stat,,,23162,22693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18044,,01
,11-Jul-16,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21-Jul-16,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500204,05-Jun-14,00-Jan-00,00-Jan-00,5803 Cherrywood Lane,Structure Fire,,852162,TRUE,FALSE,TK12,862,4820,22178,16177,,,,,,PISPTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4820,,
15002060,24-Jan-15,00-Jan-00,00-Jan-00,7401 Princeton Avenue,Automatic Alarms,City of College Park,123123,FALSE,FALSE,E122,9781,17568,22679,21016,18403,22724,,,,Investigation - Nothing Found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dust from cleaning.,,,12
15005159,21-Feb-15,00-Jan-00,00-Jan-00,4319 Rowalt Drive,Non-Emergency Incidents,City of College Park,304148,FALSE,FALSE,E122,9781,17038,22679,21532,21018,21665,,,,Investigation - Nothing Found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken sprinkler pipe,9781,,12
16222011,22-Feb-16,00-Jan-00,,4121 farm drive,Rescues,University of Maryland,268123,FALSE,FALSE,TK12,18044,21654,22176,22485,23440,23418,23323,23276,,Emergency Operations Performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18044,,12
103027002,27-Jan-13,00-Jan-00,00-Jan-00,4508 Harwick Rd,EMS Assists,City of College Park,133133,FALSE,FALSE,E121,17937,17038,19450,20326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assist EMS,17937,,12
115144031,24-May-15,00-Jan-00,00-Jan-00,9348 Cherry Hill Rd,Other Emergency,City of College Park,869147,FALSE,FALSE,TK12,21532,17038,21665,22679,16284,22724,,,,PISPTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21532,,11
122320227,20-Aug-13,00-Jan-00,00-Jan-00,6700 Belcrest Rd #823,Structure Fire,Surrounding Area,1210089,TRUE,FALSE,TK12,17568,17937,18044,20326,19450,20825,20104,21014,,PISOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False Call,17568,,01
122370146,25-Aug-13,00-Jan-00,00-Jan-00,4313 Knox Rd.,Non-Emergency Incidents,,1233112,FALSE,FALSE,E122,17937,17568,21014,17397,19843,19450,21654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assist the citizen with a cat stuck in the wall.,17937,,12
130010016,01-Jan-13,00-Jan-00,00-Jan-00,7416 Baltimore Ave,,,1001,FALSE,FALSE,E122,17937,11691,18044,18467,17602,20825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17028,,,,,,,,,,,,,12
130010046,01-Jan-13,00-Jan-00,00-Jan-00,6116 Breezewood Ct,Automatic Alarms,Surrounding Area,2002,FALSE,FALSE,E122,17937,16691,18044,18467,17602,20825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bells,17937,,14
130010052,01-Jan-13,00-Jan-00,00-Jan-00,8150 Baltimore Ave,EMS Assists,City of College Park,3003,FALSE,FALSE,E122,17937,16691,17602,18044,18467,20825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assist EMS,,,12
130010063,01-Jan-13,00-Jan-00,00-Jan-00,Kenilworth Ave/Lawrence Pl,Rescues,Surrounding Area,4004,FALSE,FALSE,F12,17937,16691,18467,20825,,,,,,,HMSU12,17602,18044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PISPTA,17937,,09
130010073,02-Jan-13,00-Jan-00,00-Jan-00,4318 Baltimore Ave,Automatic Alarms,University of Maryland,5005,FALSE,FALSE,E122,17937,16691,17602,18044,18467,20825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
130010080,02-Jan-13,00-Jan-00,00-Jan-00,8150 Baltimore Ave,Automatic Alarms,City of College Park,6006,FALSE,FALSE,E122,17937,,,,,,,,,Investigation - Malfunctioning Alarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
130010168,01-Jan-13,00-Jan-00,00-Jan-00,2400 Queens Chapel Rd,Hazmat / Hazardous Condition,Surrounding Area,7007,TRUE,FALSE,TK12,16691,17937,18044,17602,18467,20825,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staged,16691,,01
130010171,01-Jan-13,00-Jan-00,00-Jan-00,6882 Riverdale Rd,Hazmat / Hazardous Condition,Surrounding Area,8008,TRUE,FALSE,TK12,16691,17937,18044,17602,18467,20825,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PISPTA,16691,,13
130010258,01-Jan-13,00-Jan-00,00-Jan-00,7300 Baltimore Ave,EMS Assists,City of College Park,9009,FALSE,FALSE,TK12,16691,17937,18044,17602,18467,21015,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PISPTA,16691,,12
130010272,01-Jan-13,00-Jan-00,,Balimore Ave/Rossborough Ln,Vegetation Fire,City of College Park,10010,FALSE,FALSE,TK12,16691,17937,18044,17602,18467,21015,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good intent- Steam,16691,,12
130010307,01-Jan-13,00-Jan-00,,3601 East West Hwy,Hazmat / Hazardous Condition,Surrounding Area,11011,TRUE,FALSE,TK12,16691,17937,17602,18044,18467,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metered for gas- Good intent,16691,,01
130010313,01-Jan-13,00-Jan-00,00-Jan-00,Transfer to Co. 18,Non-Emergency Incidents,Surrounding Area,12012,FALSE,FALSE,TK12,16691,17937,18044,17602,18467,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 calls,16691,,Other PG
130010444,01-Jan-13,00-Jan-00,00-Jan-00,43 Chapel Dr,Automatic Alarms,University of Maryland,13013,FALSE,FALSE,E122,17937,16090,17602,18467,19450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bells reset.,17937,,12
130010463,02-Jan-13,00-Jan-00,00-Jan-00,43 Chapel Dr,Automatic Alarms,,14014,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
130028008,28-Jan-13,00-Jan-00,00-Jan-00,8150 Baltimore Ave,Automatic Alarms,City of College Park,139139,FALSE,FALSE,E121,862,15985,4820,16739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"water flow alarm, valves opened, put on fire watch.",4820,,12
130030071,03-Jan-13,00-Jan-00,00-Jan-00,um 100 Stamp,Automatic Alarms,University of Maryland,15015,FALSE,FALSE,E122,862,15985,4820,20276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
130030093,03-Jan-13,00-Jan-00,00-Jan-00,8830 Piney Branch Rd.,Structure Fire,Surrounding Area,16016,TRUE,FALSE,TK12,16691,16090,18467,21015,21021,,,,,Emergency Operations Performed,C12,,10238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"had vent group, no vent operations needed",,,Montgomery County
130030157,03-Jan-13,00-Jan-00,00-Jan-00,4901 Paint branch,Non-Emergency Incidents,City of College Park,17017,FALSE,FALSE,TK12,862,15985,4820,20276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stuck elevator,,,12
130030173,03-Jan-13,00-Jan-00,00-Jan-00,um 43 chapel dr,Automatic Alarms,University of Maryland,18018,FALSE,FALSE,E122,862,15985,4820,20276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reset bells,,,12
130040009,04-Jan-13,00-Jan-00,00-Jan-00,9011 Breezewood Ter,Structure Fire,Surrounding Area,19019,TRUE,TRUE,TK12,17937,15876,18044,19450,20104,21021,21015,20326,,Emergency Operations Performed,C12,10238,,,,,,,,,,Stat,18452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forced entry to 303 and checked for extension.,18452,,14
130040164,04-Jan-13,00-Jan-00,00-Jan-00,10300 Baltimore ave,Hazmat / Hazardous Condition,,20020,FALSE,FALSE,TK12,862,15985,20276,4820,18467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,staged,,,31
130040323,04-Jan-13,00-Jan-00,00-Jan-00,3400 Webster St,Structure Fire,Surrounding Area,22022,TRUE,TRUE,TK12,16691,18467,17826,18044,16090,20098,17602,,,Emergency Operations Performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,House,,,55
130040344,04-Jan-13,00-Jan-00,00-Jan-00,East West Highway/Baltimore Ave,Rescues,Surrounding Area,23023,FALSE,FALSE,E122,17937,17568,17137,19459,21021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car verticle on the guidewires to the utility pole. Squad 14 specialed to stabalize the vehicle in order to reach patients.,17937,,07
130050011,05-Jan-13,00-Jan-00,00-Jan-00,8150 Baltimore Ave,Automatic Alarms,City of College Park,24024,FALSE,FALSE,E122,17937,17602,17137,20100,21021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bells,17937,,12
130050028,05-Jan-13,00-Jan-00,00-Jan-00,Campus Dr./ Adelphi Rd.,Rescues,City of College Park,25025,FALSE,FALSE,E122,17937,17602,17137,20100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assist EMS,17937,,12
130050198,05-Jan-13,00-Jan-00,00-Jan-00,2277 University Blvd.,Structure Fire,Surrounding Area,26026,TRUE,FALSE,TK12,16691,17568,18467,17137,20100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staged,16691,,34
130050270,05-Jan-13,00-Jan-00,00-Jan-00,7300 18th Ave.,Hazmat / Hazardous Condition,Surrounding Area,28028,TRUE,FALSE,TK12,16691,17568,17137,20098,17038,18467,,,,PISPTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PISPTA- Truck would not start,16691,,34
130050273,05-Jan-13,00-Jan-00,00-Jan-00,7002 24th Ave.,EMS Assists,Surrounding Area,27027,FALSE,FALSE,E122,16691,17568,20098,17038,18467,17137,16284,,,Emergency Operations Performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Priority 4,,,34
130050278,05-Jan-13,00-Jan-00,,8115 Baltimore Ave,Hazmat / Hazardous Condition,City of College Park,29029,FALSE,FALSE,HMSU12,18452,20100,,,,,,,,Emergency Operations Performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuel Spill,18452,,12
130050328,05-Jan-13,00-Jan-00,00-Jan-00,9340 Edmonston Rd,Hazmat / Hazardous Condition,Surrounding Area,30030,TRUE,FALSE,E122,17602,17137,20100,21021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staged. Defective stove per TK14,17602,,14
130050352,05-Jan-13,00-Jan-00,00-Jan-00,9200 Edwards Way,Structure Fire,Surrounding Area,,TRUE,FALSE,E122,17602,17137,20100,21021,,,,,,PISOS,TK12,16691,18467,18044,17826,20098,,,,,PISOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18452,,34
130060035,06-Jan-13,00-Jan-00,00-Jan-00,7313 Baltimore Ave,EMS Assists,City of College Park,32032,FALSE,FALSE,E122,17602,17137,20100,21021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cancelled.,17602,,12
130060084,06-Jan-13,00-Jan-00,00-Jan-00,Hanover PKWY/Greenbelt Rd,Structure Fire,Surrounding Area,33033,TRUE,FALSE,E122,17602,17137,20100,21021,,,,,,PISOS,TK12,16691,18467,18044,20098,17826,,,,,PISOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staged. PISOS nothing found. Good Intent.,17602,,35
130060131,06-Jan-13,00-Jan-00,00-Jan-00,43 Chapel Drive,Automatic Alarms,University of Maryland,34034,FALSE,FALSE,E122,17602,16691,18044,18467,20098,17826,,,,Investigation - Malfunctioning Alarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unable to reset alarm. Work control notified.,17602,,12
130060190,06-Jan-13,00-Jan-00,00-Jan-00,5800 39th Ave,Hazmat / Hazardous Condition,University of Maryland,35035,FALSE,FALSE,HMSU12,21016,18044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plugged tank,21016,,01
130070046,07-Jan-13,00-Jan-00,00-Jan-00,5102 Lakeland Rd,Non-Emergency Incidents,City of College Park,36036,FALSE,FALSE,E122,17602,18044,19459,21014,20098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lift assist.,17602,,12
130070274,07-Jan-13,00-Jan-00,00-Jan-00,Soil Conservation Rd/ Beaver Dam Rd,Hazmat / Hazardous Condition,,37037,FALSE,FALSE,HMSU12,21014,19843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disposed used oil,21014,,
130070294,07-Jan-13,00-Jan-00,00-Jan-00,Knox Road/Baltimore Ave,Rescues,City of College Park,38038,FALSE,FALSE,E122,16090,18044,17602,19459,16481,,,,,PISOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PISOS by PGPD,16090,,12
130080085,08-Jan-13,00-Jan-00,00-Jan-00,Um 224 stadium dr,Automatic Alarms,University of Maryland,39039,FALSE,FALSE,E121,862,15985,20276,4820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No bells sounding,,,12
130080143,08-Jan-13,00-Jan-00,00-Jan-00,3907 Stoconga Dr,EMS Assists,Surrounding Area,41041,TRUE,FALSE,TK12,862,15985,20276,4820,18467,19459,20098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lift assist,,,31
130090329,09-Jan-13,00-Jan-00,00-Jan-00,11610 East Maple Ave,Structure Fire,Surrounding Area,43043,TRUE,FALSE,TK12,17602,18467,17826,18044,19450,14825,,,,PISOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staged.,17602,,31
130090338,09-Jan-13,00-Jan-00,00-Jan-00,3311 Rhode Island Ave,Structure Fire,Surrounding Area,44044,TRUE,FALSE,TK12,17602,18467,18044,17826,19450,14825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PISPTA,17602,,55
130100093,10-Jan-13,00-Jan-00,00-Jan-00,Um 259 Ellicott Dr,Automatic Alarms,University of Maryland,45045,FALSE,FALSE,E122,2885,15985,16691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PISPTA By UMPD,,,12
130100261,10-Jan-13,00-Jan-00,00-Jan-00,14315 Baltimore Ave,Hazmat / Hazardous Condition,Surrounding Area,46046,FALSE,FALSE,HMSU12,21014,20098,,,,,,,,PISPTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PISPTA,15876,,10
130110091,11-Jan-13,00-Jan-00,00-Jan-00,UM 22 Lehigh,Automatic Alarms,University of Maryland,47047,FALSE,FALSE,E122,862,15985,4820,20276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancelled,,,12
